customer_id,customer_type,industry_segment,city,state,region,branch_id,recency,frequency,monetary,average_order_value,R_score,F_score,M_score,RFM_score,RFM_total,customer_segment,credit_limit,current_balance,customer_rating
C0369,Government,Manufacturing,Pune,Maharashtra,West,Pun001,18,46,76487726.6,1662776.6652173912,4,5,4,454,13,Champions,1482938,332815,1
C0160,Retail,Rental,Ahmedabad,Gujarat,West,Ahm001,38,49,76401059.6,1559205.2979591836,3,5,4,354,12,Loyal Customers,45628,6888,2
C0141,Corporate,Rental,Ahmedabad,Gujarat,West,Ahm001,46,40,76394196.6,1909854.9149999998,3,3,4,334,10,Loyal Customers,742629,317916,4
C0237,Dealer,Infrastructure,Coimbatore,Tamil Nadu,South,Hyd001,77,46,76179786.8,1656082.3217391304,2,5,4,254,11,Loyal Customers,488722,178656,5
C0192,Fleet Owner,Logistics,Patna,Bihar,East,Del001,67,43,75785020.60000001,1762442.3395348839,2,4,4,244,10,Loyal Customers,476705,231421,2
C0343,Corporate,Construction,Pune,Maharashtra,West,Pun001,40,45,75493416.4,1677631.4755555557,3,4,4,344,11,Loyal Customers,994769,993939,1
C0065,Corporate,Mining,Vadodara,Gujarat,West,Ahm001,19,41,75287487.6,1836280.1853658536,4,3,4,434,11,Loyal Customers,464475,104333,4
C0253,Retail,Rental,Pune,Maharashtra,West,Pun001,34,40,75155616.4,1878890.4100000001,3,3,4,334,10,Loyal Customers,43197,9387,2
C0447,Fleet Owner,Rental,Kolkata,West Bengal,East,Kol001,8,39,74979355.4,1922547.5743589746,5,3,4,534,12,Loyal Customers,659733,93235,2
C0025,Corporate,Infrastructure,Pune,Maharashtra,West,Pun001,101,44,74907916.8,1702452.6545454545,1,4,4,144,9,Potential Customers,738335,521844,2
C0269,Government,Mining,Chennai,Tamil Nadu,South,Chn001,39,48,74531970.2,1552749.3791666667,3,5,4,354,12,Loyal Customers,1060345,618,1
C0374,Corporate,Manufacturing,Pune,Maharashtra,West,Pun001,21,46,74514218.8,1619874.3217391304,4,5,4,454,13,Champions,309830,45731,5
C0488,Government,Construction,Chennai,Tamil Nadu,South,Chn001,35,40,74510940.6,1862773.515,3,3,4,334,10,Loyal Customers,1281429,1043182,1
C0471,Fleet Owner,Logistics,Ahmedabad,Gujarat,West,Ahm001,34,42,74383440.6,1771034.2999999998,3,4,4,344,11,Loyal Customers,601565,128183,5
C0337,Corporate,Manufacturing,Delhi,Delhi,North,Del001,128,35,74236665.0,2121047.5714285714,1,2,4,124,7,Potential Customers,713111,101691,2
C0166,Fleet Owner,Manufacturing,Ahmedabad,Gujarat,West,Ahm001,23,34,74137215.4,2180506.3352941177,4,1,4,414,9,Potential Customers,735924,576566,2
C0140,Retail,Logistics,Pune,Maharashtra,West,Pun001,37,44,74126515.8,1684693.5409090908,3,4,4,344,11,Loyal Customers,14401,7550,3
C0032,Government,Logistics,Ahmedabad,Gujarat,West,Ahm001,67,45,74116167.4,1647025.9422222225,2,4,4,244,10,Loyal Customers,1262598,420821,5
C0318,Corporate,Logistics,Delhi,Delhi,North,Del001,52,41,74022907.8,1805436.7756097561,3,4,4,344,11,Loyal Customers,973000,403649,3
C0109,Retail,Mining,Chennai,Tamil Nadu,South,Chn001,22,48,73760844.8,1536684.2666666666,4,5,4,454,13,Champions,47756,11043,1
C0270,Corporate,Manufacturing,Delhi,Delhi,North,Del001,11,46,73637293.4,1600810.7260869567,5,5,4,554,14,Champions,711134,413227,2
C0355,Government,Infrastructure,Hyderabad,Telangana,South,Hyd001,13,40,73634372.6,1840859.315,5,3,4,534,12,Loyal Customers,917399,657955,4
C0193,Dealer,Infrastructure,Vadodara,Gujarat,West,Chn001,31,44,73624933.0,1673293.9318181819,4,4,4,444,12,Loyal Customers,495310,178591,4
C0131,Corporate,Rental,Hyderabad,Telangana,South,Hyd001,200,39,73559256.8,1886134.7897435897,1,3,4,134,8,Potential Customers,215893,70818,2
C0455,Retail,Logistics,Indore,Madhya Pradesh,Central,Pun001,34,40,73447442.0,1836186.05,3,3,4,334,10,Loyal Customers,12300,6971,1
C0415,Government,Infrastructure,Guwahati,Assam,North East,Pun001,81,36,73386860.0,2038523.888888889,2,2,4,224,8,Potential Customers,870771,121474,1
C0261,Dealer,Manufacturing,Delhi,Delhi,North,Del001,25,40,73371667.4,1834291.685,4,3,4,434,11,Loyal Customers,164597,79881,5
C0425,Dealer,Manufacturing,Chennai,Tamil Nadu,South,Chn001,22,44,73307047.0,1666069.25,4,4,4,444,12,Loyal Customers,197706,90771,3
C0149,Government,Manufacturing,Surat,Gujarat,West,Ahm001,19,42,73287579.6,1744942.3714285712,4,4,4,444,12,Loyal Customers,1227707,1171024,3
C0128,Retail,Mining,Ahmedabad,Gujarat,West,Ahm001,13,39,73171694.8,1876197.3025641025,5,3,4,534,12,Loyal Customers,39121,16592,1
C0293,Dealer,Logistics,Pune,Maharashtra,West,Pun001,97,42,73130661.4,1741206.223809524,1,4,4,144,9,Potential Customers,304956,217813,3
C0499,Corporate,Construction,Bhubaneswar,Odisha,East,Pun001,32,44,72950313.2,1657961.6636363638,3,4,4,344,11,Loyal Customers,598104,54844,5
C0306,Fleet Owner,Manufacturing,Kolkata,West Bengal,East,Kol001,15,47,72686638.2,1546524.2170212767,4,5,4,454,13,Champions,126541,117140,1
C0184,Retail,Rental,Chennai,Tamil Nadu,South,Chn001,33,35,72655964.8,2075884.7085714284,3,2,4,324,9,Potential Customers,47652,2668,3
C0428,Retail,Construction,Delhi,Delhi,North,Del001,127,45,72557852.6,1612396.7244444443,1,5,4,154,10,Loyal Customers,39509,3190,4
C0225,Fleet Owner,Logistics,Delhi,Delhi,North,Del001,167,51,72456292.4,1420711.6156862746,1,5,4,154,10,Loyal Customers,431855,283635,5
C0460,Dealer,Logistics,Coimbatore,Tamil Nadu,South,Del001,36,36,72367400.6,2010205.572222222,3,2,4,324,9,Potential Customers,143749,30133,1
C0209,Corporate,Infrastructure,Ranchi,Jharkhand,East,Chn001,39,46,72304789.4,1571843.247826087,3,5,4,354,12,Loyal Customers,834417,590973,5
C0172,Dealer,Manufacturing,Bengaluru,Karnataka,South,Chn001,34,42,72288356.4,1721151.342857143,3,4,4,344,11,Loyal Customers,425290,197440,1
C0377,Dealer,Logistics,Nagpur,Maharashtra,West,Chn001,24,40,72235206.4,1805880.1600000001,4,3,4,434,11,Loyal Customers,162271,99916,3
C0264,Retail,Infrastructure,Pune,Maharashtra,West,Pun001,59,39,72106046.6,1848872.9897435897,2,3,4,234,9,Potential Customers,35955,35640,4
C0383,Fleet Owner,Infrastructure,Lucknow,Uttar Pradesh,North,Pun001,42,43,71832906.0,1670532.6976744186,3,4,4,344,11,Loyal Customers,316263,124305,5
C0429,Fleet Owner,Logistics,Ahmedabad,Gujarat,West,Ahm001,71,44,71560643.6,1626378.2636363634,2,4,4,244,10,Loyal Customers,375146,303392,3
C0054,Fleet Owner,Manufacturing,Chennai,Tamil Nadu,South,Chn001,17,42,71503829.4,1702472.1285714288,4,4,4,444,12,Loyal Customers,225508,149649,2
C0191,Corporate,Manufacturing,Visakhapatnam,Andhra Pradesh,South,Kol001,19,31,71483715.2,2305926.2967741936,4,1,4,414,9,Potential Customers,615994,569076,2
C0469,Government,Manufacturing,Chandigarh,Punjab,North,Kol001,13,44,71372672.2,1622106.1863636365,5,4,4,544,13,Champions,959081,324787,1
C0247,Corporate,Logistics,Bhubaneswar,Odisha,East,Ahm001,48,42,71151399.8,1694080.9476190475,3,4,4,344,11,Loyal Customers,294502,230829,2
C0461,Corporate,Infrastructure,Delhi,Delhi,North,Del001,61,42,71054553.4,1691775.080952381,2,4,4,244,10,Loyal Customers,965128,447317,5
C0085,Retail,Mining,Chennai,Tamil Nadu,South,Chn001,102,44,71008889.0,1613838.3863636365,1,4,4,144,9,Potential Customers,18145,7599,4
C0236,Corporate,Mining,Mumbai,Maharashtra,West,Kol001,67,47,70995165.6,1510535.4382978722,2,5,4,254,11,Loyal Customers,413027,200865,1
C0341,Fleet Owner,Mining,Delhi,Delhi,North,Del001,85,38,70851281.4,1864507.405263158,2,3,4,234,9,Potential Customers,303484,207197,5
C0406,Dealer,Logistics,Pune,Maharashtra,West,Pun001,81,37,70714584.6,1911204.989189189,2,2,4,224,8,Potential Customers,229106,158033,3
C0326,Government,Mining,Kolkata,West Bengal,East,Kol001,1,47,70540745.6,1500866.9276595744,5,5,4,554,14,Champions,1143072,798334,4
C0126,Dealer,Manufacturing,Hyderabad,Telangana,South,Hyd001,270,39,70535310.0,1808597.6923076923,1,3,4,134,8,Potential Customers,473103,222292,4
C0340,Government,Mining,Hyderabad,Telangana,South,Hyd001,27,39,70311394.8,1802856.276923077,4,3,4,434,11,Loyal Customers,610937,228953,3
C0263,Government,Rental,Chennai,Tamil Nadu,South,Chn001,60,40,70309921.0,1757748.025,2,3,4,234,9,Potential Customers,907695,500438,3
C0123,Corporate,Infrastructure,Kolkata,West Bengal,East,Kol001,57,37,70243447.0,1898471.5405405406,2,2,4,224,8,Potential Customers,574353,239735,3
C0319,Dealer,Mining,Bengaluru,Karnataka,South,Kol001,23,37,69856429.4,1888011.6054054056,4,2,4,424,10,Loyal Customers,396406,88680,5
C0408,Government,Infrastructure,Hyderabad,Telangana,South,Hyd001,59,39,69586523.2,1784269.8256410258,2,3,4,234,9,Potential Customers,1461198,1221928,4
C0189,Government,Manufacturing,Visakhapatnam,Andhra Pradesh,South,Kol001,50,41,69544094.2,1696197.4195121953,3,3,4,334,10,Loyal Customers,1168432,250217,4
C0314,Retail,Logistics,Kolkata,West Bengal,East,Kol001,96,45,69465050.8,1543667.7955555555,1,4,4,144,9,Potential Customers,10952,8769,1
C0035,Dealer,Infrastructure,Indore,Madhya Pradesh,Central,Chn001,49,46,69432703.6,1509406.5999999999,3,5,4,354,12,Loyal Customers,333126,90011,4
C0413,Fleet Owner,Manufacturing,Chennai,Tamil Nadu,South,Chn001,53,46,69429652.6,1509340.2739130433,2,5,4,254,11,Loyal Customers,225464,22974,1
C0010,Dealer,Construction,Chennai,Tamil Nadu,South,Chn001,34,50,69405822.8,1388116.456,3,5,4,354,12,Loyal Customers,277717,105625,5
C0331,Dealer,Logistics,Delhi,Delhi,North,Del001,16,44,69377141.2,1576753.2090909092,4,4,4,444,12,Loyal Customers,270715,127398,2
C0138,Corporate,Mining,Hyderabad,Telangana,South,Hyd001,6,41,69371199.4,1691980.473170732,5,3,4,534,12,Loyal Customers,251506,244794,5
C0258,Corporate,Mining,Chennai,Tamil Nadu,South,Chn001,82,31,69315386.0,2235980.193548387,2,1,4,214,7,Potential Customers,299133,238697,2
C0268,Government,Mining,Pune,Maharashtra,West,Pun001,85,37,69239445.0,1871336.3513513512,2,2,4,224,8,Potential Customers,1168032,365651,3
C0414,Dealer,Construction,Chennai,Tamil Nadu,South,Chn001,0,44,69142464.4,1571419.6454545455,5,4,4,544,13,Champions,252548,96330,4
C0161,Dealer,Mining,Ahmedabad,Gujarat,West,Ahm001,44,43,69069391.0,1606264.9069767443,3,4,4,344,11,Loyal Customers,404774,243701,4
C0176,Dealer,Logistics,Chennai,Tamil Nadu,South,Chn001,146,44,68872893.2,1565293.0272727273,1,4,4,144,9,Potential Customers,397313,332315,2
C0009,Corporate,Rental,Ahmedabad,Gujarat,West,Ahm001,57,34,68836324.8,2024597.788235294,2,1,4,214,7,Potential Customers,273316,231149,4
C0162,Retail,Mining,Kolkata,West Bengal,East,Kol001,78,30,68830756.4,2294358.546666667,2,1,4,214,7,Potential Customers,21937,2738,4
C0055,Dealer,Construction,Delhi,Delhi,North,Del001,20,37,68815879.6,1859888.6378378377,4,2,4,424,10,Loyal Customers,394514,195008,1
C0205,Retail,Construction,Lucknow,Uttar Pradesh,North,Chn001,46,39,68750922.6,1762844.1692307692,3,3,4,334,10,Loyal Customers,45755,34257,2
C0358,Government,Infrastructure,Pune,Maharashtra,West,Pun001,91,40,68550380.4,1713759.5100000002,1,3,4,134,8,Potential Customers,1086668,719489,4
C0448,Fleet Owner,Logistics,Kolkata,West Bengal,East,Kol001,20,37,68537789.4,1852372.6864864866,4,2,4,424,10,Loyal Customers,796652,544307,4
C0486,Government,Manufacturing,Pune,Maharashtra,West,Pun001,85,42,68491843.6,1630758.1809523809,2,4,4,244,10,Loyal Customers,670285,64946,2
