payment_id,invoice_id,payment_date,payment_amount,payment_method,payment_date_year,payment_date_month
Pay-948760,Inv-102776,2021-03-13,2858387.34,Cheque,2021,3
Pay-636822,Inv-127918,2020-07-14,1361776.04,Credit Card,2020,7
Pay-577585,Inv-577818,2024-12-19,100288.2,Bank Transfer,2024,12
Pay-659220,Inv-184254,2022-12-18,131397.72,Credit Card,2022,12
Pay-394155,Inv-586934,2021-10-28,1311426.0,Upi,2021,10
Pay-580426,Inv-616169,2020-01-29,209792.0,Credit Card,2020,1
Pay-206957,Inv-627222,2020-06-23,1630470.51,Cheque,2020,6
Pay-689612,Inv-627222,2020-07-08,1721630.29,Credit Card,2020,7
Pay-104674,Inv-677165,2023-05-24,788964.0,Upi,2023,5
Pay-425992,Inv-619125,2024-12-21,975978.4,Bank Transfer,2024,12
Pay-952639,Inv-953376,2024-09-23,5561559.0,Cash,2024,9
Pay-467865,Inv-260722,2020-04-01,691509.0,Cash,2020,4
Pay-543884,Inv-787139,2022-10-03,2063029.4,Credit Card,2022,10
Pay-614666,Inv-898377,2022-08-10,1684355.2,Credit Card,2022,8
Pay-291696,Inv-752600,2020-10-02,1533170.24,Cash,2020,10
Pay-152998,Inv-752600,2020-10-14,1755655.56,Upi,2020,10
Pay-543378,Inv-437984,2019-12-27,945729.26,Credit Card,2019,12
Pay-579942,Inv-411163,2019-05-20,380881.8,Upi,2019,5
Pay-262603,Inv-443757,2019-03-08,2099494.0,Credit Card,2019,3
Pay-594317,Inv-586996,2021-04-20,18127.54,Credit Card,2021,4
Pay-855967,Inv-957703,2024-08-11,253852.8,Cash,2024,8
Pay-289699,Inv-326761,2022-06-30,2762833.49,Credit Card,2022,6
Pay-348493,Inv-120199,2020-07-30,3977344.0,Credit Card,2020,7
Pay-283334,Inv-455926,2022-10-31,85019.17,Cash,2022,10
Pay-196274,Inv-778889,2023-08-15,1221102.2,Cheque,2023,8
Pay-805204,Inv-786715,2020-09-21,3510199.2,Credit Card,2020,9
Pay-187085,Inv-693655,2019-08-12,1202767.32,Cheque,2019,8
Pay-663990,Inv-717505,2020-12-08,351920.21,Cash,2020,12
Pay-138866,Inv-721046,2019-02-20,2086542.4,Cash,2019,2
Pay-811462,Inv-350383,2021-05-17,1152541.8,Credit Card,2021,5
Pay-268403,Inv-650874,2020-09-18,460416.0,Cheque,2020,9
Pay-371358,Inv-949587,2024-12-06,259671.79,Upi,2024,12
Pay-902698,Inv-991036,2022-01-12,853099.2,Upi,2022,1
Pay-328094,Inv-401121,2022-12-23,8555.0,Upi,2022,12
Pay-626140,Inv-163013,2024-12-20,1751015.0,Bank Transfer,2024,12
Pay-795162,Inv-772342,2019-05-17,81006.98,Upi,2019,5
Pay-709266,Inv-276594,2024-12-14,905695.68,Cash,2024,12
Pay-587781,Inv-442508,2021-10-01,610816.0,Bank Transfer,2021,10
Pay-968198,Inv-261967,2025-01-16,311445.74,Credit Card,2025,1
Pay-896637,Inv-708803,2024-07-06,2365249.6,Cheque,2024,7
Pay-194403,Inv-357271,2024-04-29,355473.6,Bank Transfer,2024,4
Pay-216981,Inv-973318,2023-06-09,1897886.28,Bank Transfer,2023,6
Pay-441041,Inv-284451,2023-09-14,1511808.0,Cheque,2023,9
Pay-484624,Inv-606345,2020-08-31,540963.43,Bank Transfer,2020,8
Pay-667382,Inv-419723,2022-09-13,1337986.39,Cheque,2022,9
Pay-851339,Inv-367357,2022-03-19,4242.51,Credit Card,2022,3
Pay-878212,Inv-389681,2019-03-07,522499.0,Cash,2019,3
Pay-619078,Inv-616489,2023-01-05,170126.41,Bank Transfer,2023,1
Pay-372602,Inv-616489,2022-12-15,726641.59,Upi,2022,12
Pay-538848,Inv-630691,2021-04-29,809582.1,Cash,2021,4
Pay-130368,Inv-716228,2024-05-15,157697.2,Credit Card,2024,5
Pay-293706,Inv-899491,2022-11-03,2285458.0,Upi,2022,11
Pay-800359,Inv-327740,2024-04-08,1486606.13,Bank Transfer,2024,4
Pay-967971,Inv-867649,2024-07-12,194688.0,Credit Card,2024,7
Pay-178427,Inv-412834,2019-10-23,587535.8,Cash,2019,10
Pay-524001,Inv-346851,2020-07-03,1062509.8,Cheque,2020,7
Pay-854020,Inv-727878,2020-11-23,2766484.6,Cheque,2020,11
Pay-374314,Inv-889049,2024-03-24,515038.33,Credit Card,2024,3
Pay-740170,Inv-522975,2024-06-12,1401385.0,Upi,2024,6
Pay-750950,Inv-123985,2023-07-01,1336931.6,Cheque,2023,7
Pay-328496,Inv-377481,2024-09-19,59994.18,Bank Transfer,2024,9
Pay-733872,Inv-377481,2024-10-20,127507.82,Upi,2024,10
Pay-341574,Inv-197644,2021-05-07,1546131.0,Cash,2021,5
Pay-508016,Inv-761932,2020-08-31,144373.0,Credit Card,2020,8
Pay-384236,Inv-334241,2020-01-13,765766.0,Cash,2020,1
Pay-864004,Inv-524826,2022-07-29,115151.45,Upi,2022,7
Pay-641483,Inv-123850,2022-08-16,1559858.08,Bank Transfer,2022,8
Pay-884951,Inv-221398,2019-03-27,1887954.8,Upi,2019,3
Pay-332987,Inv-895599,2023-05-02,1697452.91,Credit Card,2023,5
Pay-739691,Inv-985430,2024-04-20,244262.07,Cheque,2024,4
Pay-458903,Inv-985430,2024-03-11,747105.7,Upi,2024,3
Pay-494983,Inv-985430,2024-04-21,864407.43,Cheque,2024,4
Pay-265045,Inv-261578,2019-09-11,2532292.47,Upi,2019,9
Pay-871319,Inv-486262,2024-04-01,410002.73,Bank Transfer,2024,4
Pay-829765,Inv-339583,2020-09-23,909794.2,Upi,2020,9
Pay-666123,Inv-134878,2022-03-15,94031.96,Bank Transfer,2022,3
Pay-497286,Inv-153975,2023-06-13,16142.4,Upi,2023,6
Pay-132552,Inv-671462,2025-02-17,1615986.6,Bank Transfer,2025,2
Pay-241345,Inv-806455,2023-02-21,2460670.8,Upi,2023,2
Pay-475064,Inv-906166,2021-06-19,900352.0,Bank Transfer,2021,6
Pay-726998,Inv-986320,2022-11-30,2267138.6,Upi,2022,11
Pay-238864,Inv-231120,2021-08-14,2728340.8,Upi,2021,8
Pay-114908,Inv-483476,2021-01-02,420250.11,Upi,2021,1
Pay-814746,Inv-483476,2020-12-09,787412.6,Cheque,2020,12
Pay-899223,Inv-483476,2021-01-20,1306970.69,Credit Card,2021,1
Pay-787384,Inv-902673,2021-08-19,3755466.6,Bank Transfer,2021,8
Pay-774342,Inv-392349,2021-07-13,1204191.2,Cheque,2021,7
Pay-924146,Inv-178352,2020-12-24,710414.8,Cash,2020,12
Pay-320176,Inv-820114,2024-05-31,2465945.03,Upi,2024,5
Pay-352568,Inv-820114,2024-06-06,217938.17,Bank Transfer,2024,6
Pay-886702,Inv-230503,2020-08-10,2115908.4,Cash,2020,8
Pay-963214,Inv-931890,2020-03-01,192126.53,Cheque,2020,3
Pay-461498,Inv-714237,2024-09-30,62437.58,Credit Card,2024,9
Pay-675169,Inv-263204,2020-09-02,4638989.0,Upi,2020,9
Pay-384632,Inv-188578,2022-12-19,2312492.96,Cash,2022,12
Pay-851529,Inv-100160,2022-08-02,1599169.4,Cheque,2022,8
Pay-408785,Inv-651562,2021-12-14,704201.97,Upi,2021,12
Pay-928163,Inv-626646,2021-05-17,1043003.67,Upi,2021,5
Pay-822757,Inv-610685,2022-07-24,1971709.0,Upi,2022,7
Pay-779699,Inv-783790,2019-06-24,583942.36,Credit Card,2019,6
Pay-254542,Inv-783790,2019-07-28,433704.04,Upi,2019,7
Pay-819234,Inv-969422,2020-01-01,17110.0,Credit Card,2020,1
Pay-512768,Inv-924690,2019-05-25,120224.18,Bank Transfer,2019,5
Pay-821281,Inv-252644,2022-07-30,936832.0,Bank Transfer,2022,7
Pay-498641,Inv-629674,2023-04-06,2014174.9,Cheque,2023,4
Pay-649431,Inv-540122,2022-03-09,498779.4,Cheque,2022,3
Pay-452977,Inv-211913,2022-12-30,2784805.2,Credit Card,2022,12
Pay-477965,Inv-459565,2025-01-05,1859541.2,Cash,2025,1
Pay-361305,Inv-294135,2019-12-26,362304.49,Cheque,2019,12
Pay-761194,Inv-172542,2024-07-31,1176599.4,Cheque,2024,7
Pay-579825,Inv-943372,2020-07-07,867952.8,Cash,2020,7
Pay-309344,Inv-305012,2019-12-02,1100792.8,Cheque,2019,12
Pay-908559,Inv-224042,2022-06-07,575676.6,Credit Card,2022,6
Pay-518077,Inv-335767,2021-07-07,826145.4,Cash,2021,7
Pay-146565,Inv-574854,2021-08-20,1261485.2,Credit Card,2021,8
Pay-257981,Inv-453163,2023-08-08,3192498.0,Bank Transfer,2023,8
Pay-375142,Inv-163610,2024-06-07,3844184.8,Upi,2024,6
Pay-974075,Inv-916781,2021-06-23,2377542.4,Credit Card,2021,6
Pay-537770,Inv-460353,2022-07-07,2679153.4,Bank Transfer,2022,7
Pay-243479,Inv-190459,2023-09-29,155718.6,Cheque,2023,9
Pay-345344,Inv-370186,2021-06-18,820697.0,Credit Card,2021,6
Pay-986846,Inv-258680,2020-12-28,26844.45,Upi,2020,12
Pay-162632,Inv-661102,2020-08-20,1778164.87,Cheque,2020,8
Pay-629303,Inv-524025,2021-09-28,2436314.2,Bank Transfer,2021,9
Pay-981404,Inv-663590,2022-05-12,138179.63,Bank Transfer,2022,5
Pay-867916,Inv-210539,2019-06-20,349891.06,Bank Transfer,2019,6
Pay-827436,Inv-154351,2019-06-29,3764635.2,Bank Transfer,2019,6
Pay-175885,Inv-349844,2024-11-06,1090278.4,Cash,2024,11
Pay-631848,Inv-809898,2019-08-20,108160.0,Cash,2019,8
Pay-932786,Inv-702731,2023-07-12,1373436.2,Credit Card,2023,7
Pay-879363,Inv-155178,2022-12-30,2206095.8,Cheque,2022,12
Pay-557118,Inv-697554,2019-10-06,192104.4,Bank Transfer,2019,10
Pay-927869,Inv-587012,2020-02-28,354816.0,Credit Card,2020,2
Pay-772281,Inv-754788,2021-02-15,1502722.2,Credit Card,2021,2
Pay-134579,Inv-704618,2021-12-15,2415127.8,Credit Card,2021,12
Pay-437931,Inv-298866,2020-08-07,957815.8,Cash,2020,8
Pay-886743,Inv-499937,2021-04-27,1560947.8,Bank Transfer,2021,4
Pay-858597,Inv-888820,2019-12-10,533470.36,Cheque,2019,12
Pay-211656,Inv-229206,2024-12-18,432575.2,Upi,2024,12
Pay-403286,Inv-264313,2022-11-18,2946557.6,Upi,2022,11
Pay-915023,Inv-405142,2020-03-27,64841.0,Cash,2020,3
Pay-858000,Inv-973446,2023-07-18,1754708.0,Cash,2023,7
Pay-625362,Inv-979533,2021-05-16,1668292.55,Upi,2021,5
Pay-826432,Inv-979533,2021-05-03,481708.65,Cheque,2021,5
Pay-771554,Inv-166581,2019-06-16,714025.58,Cheque,2019,6
Pay-868259,Inv-166581,2019-06-21,579332.42,Upi,2019,6
Pay-697657,Inv-895312,2024-10-21,173056.0,Credit Card,2024,10
Pay-767129,Inv-508847,2023-06-16,551468.8,Cheque,2023,6
Pay-558834,Inv-382760,2020-08-25,681970.2,Cheque,2020,8
Pay-185391,Inv-943622,2021-12-21,389002.82,Upi,2021,12
Pay-280520,Inv-943622,2022-01-23,362183.8,Cheque,2022,1
Pay-596369,Inv-943622,2021-12-13,132948.58,Cheque,2021,12
Pay-291486,Inv-736491,2024-01-19,623274.4,Upi,2024,1
Pay-537092,Inv-422787,2022-01-21,1329010.49,Bank Transfer,2022,1
Pay-568413,Inv-422787,2022-02-11,1347499.51,Bank Transfer,2022,2
Pay-689440,Inv-340163,2019-09-12,2400839.18,Cash,2019,9
Pay-909888,Inv-886303,2024-07-11,859696.16,Bank Transfer,2024,7
Pay-913054,Inv-157458,2022-12-04,3320840.6,Cheque,2022,12
Pay-728540,Inv-977102,2023-10-03,788594.6,Cash,2023,10
Pay-858216,Inv-549463,2023-10-20,2636312.0,Cash,2023,10
Pay-356134,Inv-684405,2021-01-21,4531.2,Cheque,2021,1
Pay-435113,Inv-396963,2021-09-29,92189.4,Cheque,2021,9
Pay-470374,Inv-312540,2024-01-19,1616.12,Cheque,2024,1
Pay-245783,Inv-312540,2024-01-01,1121.48,Upi,2024,1
Pay-492189,Inv-727313,2021-12-28,192744.51,Cheque,2021,12
Pay-826417,Inv-727313,2022-01-28,16490.29,Credit Card,2022,1
Pay-502888,Inv-570704,2024-02-01,2540317.0,Credit Card,2024,2
Pay-949887,Inv-244183,2023-05-31,828826.4,Cash,2023,5
Pay-268995,Inv-834838,2024-02-27,2399832.0,Cheque,2024,2
Pay-550895,Inv-529150,2023-02-17,3564705.6,Credit Card,2023,2
Pay-879982,Inv-220146,2020-11-26,1273288.2,Cheque,2020,11
Pay-144157,Inv-582130,2021-05-25,104398.18,Cash,2021,5
Pay-541290,Inv-582130,2021-07-01,1062709.03,Cash,2021,7
Pay-349606,Inv-582130,2021-07-02,4951.19,Cheque,2021,7
Pay-930031,Inv-220059,2024-04-22,154349.99,Cheque,2024,4
Pay-311036,Inv-883172,2020-06-05,657437.43,Credit Card,2020,6
Pay-827318,Inv-512120,2024-10-06,50098.09,Upi,2024,10
Pay-276764,Inv-512120,2024-11-11,227377.91,Cash,2024,11
Pay-621539,Inv-560046,2019-09-07,478178.0,Upi,2019,9
Pay-622857,Inv-813014,2023-07-11,1302268.0,Credit Card,2023,7
Pay-811535,Inv-959763,2021-04-25,164985.2,Credit Card,2021,4
Pay-762595,Inv-959763,2021-05-15,809118.04,Upi,2021,5
Pay-146045,Inv-959763,2021-05-14,175947.76,Upi,2021,5
Pay-558650,Inv-750210,2020-03-04,1737817.0,Cash,2020,3
Pay-339158,Inv-307357,2021-11-15,215488.0,Upi,2021,11
Pay-665007,Inv-670523,2023-08-11,3231.99,Cheque,2023,8
Pay-270605,Inv-670523,2023-07-23,5830.41,Credit Card,2023,7
Pay-151806,Inv-649238,2024-01-28,1457905.8,Upi,2024,1
Pay-336667,Inv-786620,2023-07-16,5706.6,Credit Card,2023,7
Pay-545447,Inv-754199,2024-01-27,2452474.0,Cheque,2024,1
Pay-543147,Inv-365987,2024-11-11,1847609.0,Upi,2024,11
Pay-132175,Inv-779136,2022-02-12,178565.09,Cash,2022,2
Pay-590135,Inv-779136,2022-03-19,120036.4,Bank Transfer,2022,3
Pay-793833,Inv-779136,2022-03-26,108950.51,Cheque,2022,3
Pay-624298,Inv-162740,2023-07-06,1135811.48,Bank Transfer,2023,7
Pay-597384,Inv-893912,2021-12-22,356319.5,Credit Card,2021,12
Pay-245116,Inv-272857,2024-12-05,436992.0,Cheque,2024,12
Pay-431276,Inv-533653,2021-10-20,1221616.0,Upi,2021,10
Pay-456523,Inv-451975,2022-11-30,2286016.0,Bank Transfer,2022,11
Pay-511547,Inv-535899,2024-12-15,797036.8,Cheque,2024,12
Pay-429185,Inv-627459,2021-01-02,620727.14,Upi,2021,1
Pay-373017,Inv-828281,2024-02-05,2160880.0,Credit Card,2024,2
Pay-520365,Inv-149737,2024-03-02,998401.57,Cash,2024,3
Pay-496937,Inv-149737,2024-02-04,1229578.43,Credit Card,2024,2
Pay-470376,Inv-802656,2020-01-04,3457932.0,Bank Transfer,2020,1
Pay-680359,Inv-596171,2022-04-07,850820.0,Credit Card,2022,4
Pay-798714,Inv-289217,2021-01-10,170515.4,Cash,2021,1
Pay-706528,Inv-902964,2022-02-08,1614899.0,Cash,2022,2
Pay-874760,Inv-352127,2023-07-06,3895876.4,Bank Transfer,2023,7
Pay-841086,Inv-341259,2021-10-16,3103256.0,Upi,2021,10
Pay-516568,Inv-415673,2020-09-22,1194699.0,Credit Card,2020,9
Pay-434673,Inv-521672,2019-08-28,1225487.6,Cheque,2019,8
Pay-165069,Inv-259216,2025-01-02,2360776.0,Cash,2025,1
Pay-789737,Inv-784335,2021-06-14,2810474.0,Cheque,2021,6
Pay-975580,Inv-217275,2019-05-28,23173.15,Cash,2019,5
Pay-660788,Inv-217275,2019-06-04,780.85,Upi,2019,6
Pay-691347,Inv-641457,2020-09-23,1812703.2,Upi,2020,9
Pay-916846,Inv-981022,2019-09-07,2891397.8,Credit Card,2019,9
Pay-394089,Inv-847653,2023-07-29,2918030.13,Credit Card,2023,7
Pay-726930,Inv-713911,2019-05-27,1167170.4,Bank Transfer,2019,5
Pay-514375,Inv-623277,2021-08-21,1605959.43,Credit Card,2021,8
Pay-530901,Inv-881354,2022-08-25,7877.25,Cash,2022,8
Pay-819165,Inv-600537,2021-04-26,1320870.53,Cheque,2021,4
Pay-544605,Inv-600537,2021-04-12,764279.47,Upi,2021,4
Pay-596068,Inv-768477,2020-05-14,1438623.2,Bank Transfer,2020,5
Pay-781904,Inv-844399,2020-05-21,201133.74,Upi,2020,5
Pay-790291,Inv-844399,2020-05-06,787808.26,Upi,2020,5
Pay-181056,Inv-482847,2023-09-17,2230681.24,Cash,2023,9
Pay-443243,Inv-361583,2025-01-22,905589.0,Credit Card,2025,1
Pay-490652,Inv-175876,2022-03-01,64619.01,Upi,2022,3
Pay-795342,Inv-175876,2022-02-04,283131.99,Bank Transfer,2022,2
Pay-525169,Inv-464112,2021-04-20,1451676.2,Credit Card,2021,4
Pay-628246,Inv-570985,2020-06-11,2032876.8,Cash,2020,6
Pay-328377,Inv-432823,2019-07-12,151582.8,Upi,2019,7
Pay-298625,Inv-523025,2019-11-03,11231.73,Credit Card,2019,11
Pay-549577,Inv-772546,2024-01-14,61157.36,Cheque,2024,1
Pay-296066,Inv-772546,2024-02-17,571041.87,Bank Transfer,2024,2
Pay-856725,Inv-772546,2024-01-11,2758243.76,Bank Transfer,2024,1
Pay-342589,Inv-565118,2022-11-18,45766.04,Cash,2022,11
Pay-984512,Inv-565118,2022-11-25,221519.66,Bank Transfer,2022,11
Pay-354600,Inv-565118,2022-12-18,636394.31,Cheque,2022,12
Pay-385607,Inv-730194,2023-08-20,1825328.0,Credit Card,2023,8
Pay-232395,Inv-773901,2020-10-24,980651.0,Cash,2020,10
Pay-324351,Inv-546140,2021-05-17,1035340.6,Upi,2021,5
Pay-803939,Inv-466512,2022-11-10,72320.0,Bank Transfer,2022,11
Pay-578493,Inv-442290,2024-12-25,3475976.4,Bank Transfer,2024,12
Pay-941876,Inv-812083,2025-02-08,3513691.0,Bank Transfer,2025,2
Pay-126086,Inv-500698,2020-02-10,12307.44,Upi,2020,2
Pay-956616,Inv-317751,2020-05-18,1412433.8,Cash,2020,5
Pay-572323,Inv-712509,2023-10-10,11977.0,Cash,2023,10
Pay-857095,Inv-721293,2020-05-09,2898741.0,Cash,2020,5
Pay-340316,Inv-449696,2021-05-23,283772.2,Credit Card,2021,5
Pay-503949,Inv-768057,2019-03-11,116383.4,Bank Transfer,2019,3
Pay-498490,Inv-660489,2019-12-09,3498619.6,Cash,2019,12
Pay-870021,Inv-753316,2019-07-08,2534063.8,Cheque,2019,7
Pay-627711,Inv-778595,2023-08-06,10481.22,Bank Transfer,2023,8
Pay-318044,Inv-637376,2023-05-04,3183317.8,Bank Transfer,2023,5
Pay-694794,Inv-824854,2020-12-20,3998147.8,Cheque,2020,12
Pay-632660,Inv-923912,2021-07-13,1854413.4,Cash,2021,7
Pay-604973,Inv-876252,2024-07-15,1061096.2,Cash,2024,7
Pay-627353,Inv-527636,2025-02-17,415664.4,Cheque,2025,2
Pay-667238,Inv-849623,2019-02-12,278.41,Cheque,2019,2
Pay-803783,Inv-849623,2019-03-28,2435.59,Cheque,2019,3
Pay-543659,Inv-540329,2020-01-26,161817.21,Credit Card,2020,1
Pay-126766,Inv-920141,2019-09-01,206475.07,Upi,2019,9
Pay-820829,Inv-920141,2019-08-31,3534541.13,Cash,2019,8
Pay-488875,Inv-920331,2019-11-30,65606.37,Credit Card,2019,11
Pay-111032,Inv-180343,2019-04-28,8435794.2,Upi,2019,4
Pay-618093,Inv-693498,2020-04-29,880713.0,Cheque,2020,4
Pay-878435,Inv-628856,2019-10-08,1796802.49,Bank Transfer,2019,10
Pay-675687,Inv-628856,2019-10-01,62280.71,Credit Card,2019,10
Pay-977584,Inv-562591,2023-08-08,1002826.6,Cash,2023,8
Pay-724151,Inv-878185,2019-06-15,4542763.0,Credit Card,2019,6
Pay-978451,Inv-233625,2019-04-10,814461.53,Cheque,2019,4
Pay-677436,Inv-233625,2019-02-21,247828.27,Cash,2019,2
Pay-218087,Inv-166804,2022-03-23,1634013.0,Cheque,2022,3
Pay-543087,Inv-644797,2024-07-09,1110645.0,Cash,2024,7
Pay-779280,Inv-801186,2020-08-27,907422.6,Cash,2020,8
Pay-503887,Inv-461027,2024-01-27,3954793.8,Upi,2024,1
Pay-703197,Inv-565419,2021-09-12,804780.47,Credit Card,2021,9
Pay-751553,Inv-568008,2022-12-10,134835.48,Cheque,2022,12
