po_id,supplier_id,branch_id,order_date,expected_delivery_date,received_date,po_status,total_cost,total_gst_amount,grand_total,order_date_year,order_date_month,expected_delivery_date_year,expected_delivery_date_month,received_date_year,received_date_month
Po-830379,Sup0002,Pun001,2022-09-03,2022-09-13,2022-09-13,Received,5920683.7,1634029.584,7554713.284,2022,9,2022,9,2022.0,9.0
Po-525153,Sup0005,Hyd001,2019-10-10,2019-11-07,,Cancelled,8461140.879999999,2270840.4224,10731981.3024,2019,10,2019,11,,
Po-735626,Sup0007,Del001,2023-10-01,2023-10-13,2023-10-13,Received,44521.33,8013.839399999999,52535.16939999999,2023,10,2023,10,2023.0,10.0
Po-951669,Sup0007,Hyd001,2019-04-03,2019-04-15,2019-04-20,Received,27471534.97,7692029.791600001,35163564.7616,2019,4,2019,4,2019.0,4.0
Po-470868,Sup0006,Hyd001,2023-10-31,2023-11-10,2023-11-10,Received,26685330.22,7384160.741600001,34069490.9616,2023,10,2023,11,2023.0,11.0
Po-496896,Sup0006,Pun001,2021-08-07,2021-08-17,2021-08-17,Received,1553902.1,427980.072,1981882.172,2021,8,2021,8,2021.0,8.0
Po-821311,Sup0006,Hyd001,2020-04-15,2020-04-25,,Cancelled,432693.48,121154.1744,553847.6544,2020,4,2020,4,,
Po-171706,Sup0002,Ahm001,2020-11-21,2020-12-01,,Cancelled,15795288.26,4235064.353800001,20030352.6138,2020,11,2020,12,,
Po-774463,Sup0002,Chn001,2020-10-05,2020-10-15,2020-10-15,Received,4857242.85,1293832.321,6151075.171,2020,10,2020,10,2020.0,10.0
Po-263864,Sup0008,Hyd001,2021-06-29,2021-07-25,2021-07-25,Received,2729129.4,634870.208,3363999.608,2021,6,2021,7,2021.0,7.0
Po-477755,Sup0004,Ahm001,2020-12-14,2021-01-01,,Cancelled,10169288.25,2839404.126,13008692.376,2020,12,2021,1,,
Po-217806,Sup0008,Ahm001,2022-11-29,2022-12-25,2022-12-25,Received,25616094.02,7144305.578600001,32760399.5986,2022,11,2022,12,2022.0,12.0
Po-202458,Sup0003,Pun001,2022-06-11,2022-06-27,2022-06-26,Received,10241983.35,2810533.7040000004,13052517.054,2022,6,2022,6,2022.0,6.0
Po-897684,Sup0004,Hyd001,2024-08-07,2024-08-25,2024-08-25,Received,5691486.76,1211243.4858,6902730.2458,2024,8,2024,8,2024.0,8.0
Po-335794,Sup0001,Ahm001,2024-06-18,2024-07-07,2024-07-07,Received,13935044.38,3901812.4264,17836856.8064,2024,6,2024,7,2024.0,7.0
Po-834946,Sup0005,Kol001,2022-06-13,2022-07-11,2022-07-11,Received,9574023.5,2633527.9810000006,12207551.481,2022,6,2022,7,2022.0,7.0
Po-494220,Sup0003,Hyd001,2024-03-11,2024-03-27,2024-03-27,Received,3814063.28,1052253.3644,4866316.6444,2024,3,2024,3,2024.0,3.0
Po-709137,Sup0008,Ahm001,2020-05-09,2020-06-04,2020-06-04,Received,2706435.0500000003,744207.5160000002,3450642.566,2020,5,2020,6,2020.0,6.0
Po-341939,Sup0002,Del001,2023-05-04,2023-05-14,2023-05-19,Received,27704844.38,7318457.5054,35023301.8854,2023,5,2023,5,2023.0,5.0
Po-908623,Sup0007,Del001,2023-07-24,2023-08-05,,Cancelled,12489544.03,3478901.3554,15968445.3854,2023,7,2023,8,,
Po-338935,Sup0002,Kol001,2022-08-30,2022-09-09,2022-09-09,Received,932141.25,234945.08300000004,1167086.333,2022,8,2022,9,2022.0,9.0
Po-928717,Sup0006,Del001,2024-06-04,2024-06-14,2024-06-14,Received,33903564.14,9483940.1192,43387504.2592,2024,6,2024,6,2024.0,6.0
Po-124043,Sup0003,Chn001,2024-06-30,2024-07-16,2024-07-16,Received,7983395.93,2184113.9364,10167509.8664,2024,6,2024,7,2024.0,7.0
Po-409171,Sup0008,Ahm001,2020-04-12,2020-05-08,,Cancelled,13840642.02,3794647.231600001,17635289.2516,2020,4,2020,5,,
Po-293665,Sup0002,Pun001,2023-07-04,2023-07-14,2023-07-14,Received,9722904.4,2717611.9680000003,12440516.368,2023,7,2023,7,2023.0,7.0
Po-623109,Sup0002,Chn001,2022-01-04,2022-01-14,2022-01-20,Received,12859177.79,3453397.6642,16312575.4542,2022,1,2022,1,2022.0,1.0
Po-846758,Sup0004,Chn001,2022-10-21,2022-11-08,,Cancelled,10749317.42,2989852.0206000004,13739169.4406,2022,10,2022,11,,
Po-318205,Sup0007,Hyd001,2020-11-26,2020-12-08,,Cancelled,12548822.44,3200820.7032000003,15749643.1432,2020,11,2020,12,,
Po-884712,Sup0006,Chn001,2021-10-31,2021-11-10,2021-11-10,Received,13356960.8,3697808.022,17054768.822,2021,10,2021,11,2021.0,11.0
Po-485392,Sup0002,Del001,2022-11-13,2022-11-23,2022-11-30,Received,9460973.79,2557384.6422,12018358.4322,2022,11,2022,11,2022.0,11.0
Po-405823,Sup0001,Ahm001,2024-02-12,2024-03-02,2024-03-08,Received,30318523.08,8450605.2534,38769128.3334,2024,2,2024,3,2024.0,3.0
Po-504755,Sup0008,Ahm001,2021-04-16,2021-05-12,2021-05-12,Received,2724938.63,700300.4934000002,3425239.1234,2021,4,2021,5,2021.0,5.0
Po-132356,Sup0001,Pun001,2022-09-25,2022-10-14,2022-10-14,Received,8595970.32,2331168.0426000003,10927138.3626,2022,9,2022,10,2022.0,10.0
Po-231186,Sup0006,Pun001,2023-06-17,2023-06-27,2023-06-27,Received,16131498.01,4346041.7338,20477539.7438,2023,6,2023,6,2023.0,6.0
Po-863705,Sup0001,Pun001,2022-05-28,2022-06-16,2022-06-16,Received,21711.72,3908.1096,25619.8296,2022,5,2022,6,2022.0,6.0
Po-496930,Sup0002,Chn001,2022-08-29,2022-09-08,2022-09-08,Received,26562929.24,7028593.7632,33591523.003199995,2022,8,2022,9,2022.0,9.0
Po-614627,Sup0004,Hyd001,2021-02-14,2021-03-04,2021-03-11,Received,1717717.33,412226.4544,2129943.7844,2021,2,2021,3,2021.0,3.0
Po-243668,Sup0007,Pun001,2019-11-17,2019-11-29,2019-11-27,Received,10454730.64,2880594.1212000004,13335324.7612,2019,11,2019,11,2019.0,11.0
Po-982907,Sup0007,Chn001,2021-04-08,2021-04-20,2021-04-20,Received,433512.56,78032.26079999999,511544.8208,2021,4,2021,4,2021.0,4.0
Po-796561,Sup0002,Kol001,2022-08-18,2022-08-28,2022-08-28,Received,10564952.98,2941025.1544000003,13505978.1344,2022,8,2022,8,2022.0,8.0
Po-920900,Sup0002,Hyd001,2020-12-30,2021-01-09,2021-01-09,Received,8426266.5,2279484.816,10705751.316000002,2020,12,2021,1,2021.0,1.0
Po-336963,Sup0008,Pun001,2019-07-22,2019-08-17,2019-08-17,Received,28721244.66,7951865.672800001,36673110.3328,2019,7,2019,8,2019.0,8.0
Po-112261,Sup0004,Ahm001,2019-12-11,2019-12-29,2019-12-29,Received,3203164.2100000004,878774.4938,4081938.7038,2019,12,2019,12,2019.0,12.0
Po-863438,Sup0005,Kol001,2019-06-30,2019-07-28,2019-07-28,Received,10879529.62,3010489.2296,13890018.8496,2019,6,2019,7,2019.0,7.0
Po-825717,Sup0002,Ahm001,2024-07-20,2024-07-30,,Cancelled,29676822.68,8202855.1764,37879677.8564,2024,7,2024,7,,
Po-476858,Sup0004,Pun001,2020-09-22,2020-10-10,,Cancelled,28929559.9,7941311.694000001,36870871.594,2020,9,2020,10,,
Po-859259,Sup0004,Ahm001,2024-05-01,2024-05-19,2024-05-20,Received,2607039.86,659284.5108,3266324.3708,2024,5,2024,5,2024.0,5.0
Po-736545,Sup0006,Chn001,2021-09-07,2021-09-17,2021-09-17,Received,25500410.3,7034471.851000001,32534882.151,2021,9,2021,9,2021.0,9.0
Po-819647,Sup0001,Hyd001,2020-04-27,2020-05-16,2020-05-16,Received,21689285.11,5824245.4478,27513530.5578,2020,4,2020,5,2020.0,5.0
Po-813658,Sup0006,Chn001,2023-03-12,2023-03-22,,Cancelled,18577883.89,5191347.188200001,23769231.0782,2023,3,2023,3,,
Po-288319,Sup0001,Kol001,2023-05-23,2023-06-11,2023-06-11,Received,3568887.8000000003,999288.584,4568176.384000001,2023,5,2023,6,2023.0,6.0
Po-466358,Sup0007,Chn001,2022-11-20,2022-12-02,2022-12-03,Received,27230465.38,7533778.523400001,34764243.9034,2022,11,2022,12,2022.0,12.0
Po-578779,Sup0003,Chn001,2024-05-31,2024-06-16,2024-06-16,Received,15219785.24,4231311.290200001,19451096.5302,2024,5,2024,6,2024.0,6.0
Po-478403,Sup0005,Kol001,2024-02-09,2024-03-08,2024-03-14,Received,20017777.86,5447484.9608000005,25465262.8208,2024,2,2024,3,2024.0,3.0
Po-168434,Sup0008,Kol001,2023-09-05,2023-10-01,2023-10-01,Received,32499987.77,8999132.152600002,41499119.92260001,2023,9,2023,10,2023.0,10.0
Po-156227,Sup0001,Pun001,2024-08-10,2024-08-29,2024-09-03,Received,642565.5199999999,179918.3456,822483.8655999999,2024,8,2024,8,2024.0,9.0
Po-710552,Sup0006,Del001,2021-01-25,2021-02-04,2021-02-04,Received,3267027.9,853625.322,4120653.222,2021,1,2021,2,2021.0,2.0
Po-103773,Sup0005,Hyd001,2023-08-05,2023-09-02,2023-09-02,Received,28593691.03,7806005.9024,36399696.9324,2023,8,2023,9,2023.0,9.0
Po-400178,Sup0003,Ahm001,2019-03-16,2019-04-01,2019-04-01,Received,25723192.6,7186250.428000001,32909443.028000005,2019,3,2019,4,2019.0,4.0
Po-457507,Sup0008,Kol001,2023-05-30,2023-06-25,2023-06-25,Received,7473639.65,2074623.3320000004,9548262.982,2023,5,2023,6,2023.0,6.0
Po-600808,Sup0005,Kol001,2019-07-29,2019-08-26,2019-08-26,Received,36233433.54,10125331.051200002,46358764.5912,2019,7,2019,8,2019.0,8.0
Po-849975,Sup0007,Chn001,2019-09-21,2019-10-03,2019-10-03,Received,16154212.41,4517227.162800001,20671439.572800003,2019,9,2019,10,2019.0,10.0
Po-513384,Sup0002,Chn001,2022-06-28,2022-07-08,2022-07-08,Received,15373663.87,4097128.100600001,19470791.9706,2022,6,2022,7,2022.0,7.0
Po-226530,Sup0003,Del001,2021-09-29,2021-10-15,2021-10-15,Received,896493.25,225070.87500000003,1121564.125,2021,9,2021,10,2021.0,10.0
Po-180132,Sup0005,Ahm001,2020-09-08,2020-10-06,2020-10-06,Received,13896431.36,3772525.0308,17668956.390800003,2020,9,2020,10,2020.0,10.0
Po-547983,Sup0008,Chn001,2021-10-30,2021-11-25,2021-11-25,Received,2828135.8,791878.0240000001,3620013.824,2021,10,2021,11,2021.0,11.0
Po-362725,Sup0007,Pun001,2019-02-15,2019-02-27,2019-02-27,Received,5352816.84,1429789.9392,6782606.779200001,2019,2,2019,2,2019.0,2.0
Po-872444,Sup0007,Hyd001,2019-09-20,2019-10-02,2019-10-02,Received,18276864.8,4937747.059,23214611.859,2019,9,2019,10,2019.0,10.0
Po-934131,Sup0006,Ahm001,2021-09-15,2021-09-25,2021-09-25,Received,7688395.14,2148218.0552000003,9836613.1952,2021,9,2021,9,2021.0,9.0
Po-745052,Sup0002,Del001,2020-08-30,2020-09-09,2020-09-16,Received,11130823.15,2994932.3090000004,14125755.459,2020,8,2020,9,2020.0,9.0
Po-803690,Sup0008,Del001,2020-02-09,2020-03-06,2020-03-07,Received,6335867.49,1441345.0252,7777212.5152,2020,2,2020,3,2020.0,3.0
Po-619938,Sup0007,Hyd001,2022-10-26,2022-11-07,2022-11-07,Received,27793397.72,7534939.6336,35328337.3536,2022,10,2022,11,2022.0,11.0
Po-495978,Sup0007,Kol001,2020-11-19,2020-12-01,2020-12-07,Received,15249589.31,4135343.1318,19384932.4418,2020,11,2020,12,2020.0,12.0
Po-168420,Sup0005,Del001,2022-12-27,2023-01-24,2023-01-24,Received,35140147.23,9782387.7944,44922535.0244,2022,12,2023,1,2023.0,1.0
Po-121334,Sup0006,Chn001,2024-02-28,2024-03-09,2024-03-09,Received,20578554.29,5638993.4132,26217547.7032,2024,2,2024,3,2024.0,3.0
Po-947330,Sup0004,Hyd001,2022-10-05,2022-10-23,2022-10-24,Received,41754572.64,11660006.9502,53414579.59020001,2022,10,2022,10,2022.0,10.0
Po-222169,Sup0001,Del001,2022-12-19,2023-01-07,2023-01-07,Received,41498447.46,11613873.8238,53112321.283800006,2022,12,2023,1,2023.0,1.0
Po-203757,Sup0008,Chn001,2021-08-19,2021-09-14,2021-09-14,Received,19889185.01,5456008.365800001,25345193.3758,2021,8,2021,9,2021.0,9.0
Po-344527,Sup0001,Kol001,2023-11-22,2023-12-11,2023-12-11,Received,7863847.43,2044266.4064,9908113.8364,2023,11,2023,12,2023.0,12.0
Po-538298,Sup0008,Chn001,2024-05-04,2024-05-30,2024-05-30,Received,38813138.85,10709775.037,49522913.887,2024,5,2024,5,2024.0,5.0
Po-389815,Sup0006,Ahm001,2023-04-07,2023-04-17,2023-04-18,Received,75416614.47,21101205.546600003,96517820.0166,2023,4,2023,4,2023.0,4.0
Po-951720,Sup0005,Chn001,2023-03-07,2023-04-04,2023-04-04,Received,4436001.92,1014834.2496,5450836.169600001,2023,3,2023,4,2023.0,4.0
Po-851935,Sup0004,Hyd001,2022-01-09,2022-01-27,2022-01-27,Received,3013888.9200000004,830286.9156000002,3844175.8356,2022,1,2022,1,2022.0,1.0
Po-798967,Sup0008,Pun001,2021-10-11,2021-11-06,2021-11-06,Received,14548320.93,4066880.8124,18615201.7424,2021,10,2021,11,2021.0,11.0
Po-379712,Sup0003,Del001,2019-06-21,2019-07-07,2019-07-14,Received,4484451.69,1134905.3982000002,5619357.0882,2019,6,2019,7,2019.0,7.0
Po-530667,Sup0007,Chn001,2022-07-02,2022-07-14,2022-07-14,Received,1919809.19,537546.5732,2457355.7632,2022,7,2022,7,2022.0,7.0
Po-919554,Sup0002,Hyd001,2022-09-06,2022-09-16,2022-09-16,Received,10255854.82,2612626.3976000003,12868481.2176,2022,9,2022,9,2022.0,9.0
Po-911633,Sup0006,Hyd001,2024-03-18,2024-03-28,2024-03-28,Received,1889475.87,340105.6566,2229581.5266,2024,3,2024,3,2024.0,3.0
Po-854965,Sup0003,Ahm001,2021-10-20,2021-11-05,,Cancelled,29170303.9,7811451.159,36981755.059,2021,10,2021,11,,
Po-749030,Sup0003,Hyd001,2022-11-15,2022-12-01,2022-12-01,Received,2192808.31,591999.1828000001,2784807.4928,2022,11,2022,12,2022.0,12.0
Po-661699,Sup0001,Del001,2020-01-25,2020-02-13,2020-02-13,Received,25864795.28,7189611.084399999,33054406.3644,2020,1,2020,2,2020.0,2.0
Po-186299,Sup0004,Ahm001,2020-08-22,2020-09-09,,Cancelled,6294707.48,1754310.9204000002,8049018.400400001,2020,8,2020,9,,
Po-233383,Sup0002,Hyd001,2022-07-01,2022-07-11,2022-07-11,Received,16112245.79,4403474.439200001,20515720.2292,2022,7,2022,7,2022.0,7.0
Po-645308,Sup0006,Kol001,2023-12-10,2023-12-20,2023-12-20,Received,8309414.54,2121627.6122,10431042.1522,2023,12,2023,12,2023.0,12.0
Po-307760,Sup0004,Ahm001,2021-03-08,2021-03-26,2021-03-26,Received,4169478.2,1147237.7880000002,5316715.988000001,2021,3,2021,3,2021.0,3.0
Po-473089,Sup0008,Pun001,2019-07-15,2019-08-10,2019-08-10,Received,9992945.47,2584376.2076000003,12577321.6776,2019,7,2019,8,2019.0,8.0
Po-308630,Sup0003,Ahm001,2023-03-05,2023-03-21,2023-03-21,Received,7132189.66,1746157.6608,8878347.3208,2023,3,2023,3,2023.0,3.0
Po-381592,Sup0006,Kol001,2023-07-26,2023-08-05,2023-08-05,Received,10877887.06,2774309.3528,13652196.4128,2023,7,2023,8,2023.0,8.0
Po-619102,Sup0002,Pun001,2019-09-24,2019-10-04,2019-10-04,Received,17965580.91,5015593.3168,22981174.2268,2019,9,2019,10,2019.0,10.0
Po-442192,Sup0004,Del001,2022-05-27,2022-06-14,2022-06-18,Received,31553068.790000003,8800823.503200002,40353892.2932,2022,5,2022,6,2022.0,6.0
Po-367575,Sup0006,Chn001,2019-09-12,2019-09-22,2019-09-22,Received,5632907.140000001,1556277.2672,7189184.4072,2019,9,2019,9,2019.0,9.0
Po-709235,Sup0006,Ahm001,2024-03-12,2024-03-22,,Cancelled,3972626.43,773158.1874,4745784.6174,2024,3,2024,3,,
Po-320748,Sup0003,Del001,2019-11-09,2019-11-25,2019-11-25,Received,3118760.1100000003,873252.8308000001,3992012.9408,2019,11,2019,11,2019.0,11.0
Po-342933,Sup0005,Kol001,2020-06-11,2020-07-09,2020-07-09,Received,6916892.68,1887721.5824,8804614.2624,2020,6,2020,7,2020.0,7.0
Po-874633,Sup0001,Ahm001,2021-04-16,2021-05-05,2021-05-05,Received,6917170.24,1903964.1312,8821134.3712,2021,4,2021,5,2021.0,5.0
Po-977769,Sup0003,Ahm001,2020-06-06,2020-06-22,2020-06-23,Received,3055965.08,855670.2224000001,3911635.3024,2020,6,2020,6,2020.0,6.0
Po-404272,Sup0001,Hyd001,2024-12-11,2024-12-30,2025-01-03,Received,27174212.64,7380072.889200001,34554285.5292,2024,12,2024,12,2025.0,1.0
Po-177421,Sup0002,Chn001,2024-02-15,2024-02-25,2024-02-25,Received,35974495.13,9796467.2954,45770962.4254,2024,2,2024,2,2024.0,2.0
Po-216874,Sup0003,Kol001,2020-04-16,2020-05-02,,Cancelled,12923324.31,3600167.0958,16523491.405799998,2020,4,2020,5,,
Po-261469,Sup0007,Del001,2023-04-13,2023-04-25,2023-04-25,Received,31577206.750000004,8535465.206,40112671.95600001,2023,4,2023,4,2023.0,4.0
Po-241987,Sup0006,Kol001,2020-12-04,2020-12-14,2020-12-13,Received,33926889.2,9492060.876000002,43418950.076,2020,12,2020,12,2020.0,12.0
Po-266975,Sup0005,Hyd001,2021-05-15,2021-06-12,2021-06-12,Received,16916890.93,4716563.3974,21633454.3274,2021,5,2021,6,2021.0,6.0
Po-420356,Sup0008,Kol001,2024-09-26,2024-10-22,2024-10-22,Received,6015672.84,1684388.3952,7700061.235200001,2024,9,2024,10,2024.0,10.0
Po-209076,Sup0007,Pun001,2024-11-24,2024-12-06,2024-12-06,Received,58734400.48,16367245.0524,75101645.5324,2024,11,2024,12,2024.0,12.0
Po-542719,Sup0006,Ahm001,2020-05-13,2020-05-23,,Cancelled,7220245.39,2010754.8042,9231000.1942,2020,5,2020,5,,
Po-258089,Sup0006,Pun001,2019-03-23,2019-04-02,2019-04-06,Received,21240108.01,5862430.299800001,27102538.309800003,2019,3,2019,4,2019.0,4.0
Po-889847,Sup0003,Del001,2020-09-22,2020-10-08,,Cancelled,6794071.81,1814970.0168000003,8609041.8268,2020,9,2020,10,,
Po-786125,Sup0002,Chn001,2021-01-03,2021-01-13,2021-01-13,Received,7699607.31,2139471.3268000004,9839078.6368,2021,1,2021,1,2021.0,1.0
Po-750357,Sup0007,Pun001,2023-02-07,2023-02-19,2023-02-21,Received,7665699.08,2146395.7424,9812094.8224,2023,2,2023,2,2023.0,2.0
Po-139869,Sup0008,Del001,2020-09-06,2020-10-02,2020-10-02,Received,2433151.44,681282.4032000001,3114433.8432,2020,9,2020,10,2020.0,10.0
Po-941511,Sup0007,Ahm001,2022-05-23,2022-06-04,2022-06-04,Received,1589999.36,426821.1968000001,2016820.5568,2022,5,2022,6,2022.0,6.0
Po-370941,Sup0002,Ahm001,2024-10-20,2024-10-30,,Cancelled,10427284.21,2916774.418800001,13344058.6288,2024,10,2024,10,,
Po-562305,Sup0004,Pun001,2023-03-28,2023-04-15,2023-04-15,Received,18932999.79,5286590.018200001,24219589.8082,2023,3,2023,4,2023.0,4.0
Po-152118,Sup0001,Hyd001,2023-02-05,2023-02-24,,Cancelled,10118119.63,2823984.4294000003,12942104.0594,2023,2,2023,2,,
Po-437833,Sup0005,Del001,2020-06-19,2020-07-17,2020-07-17,Received,8901941.610000001,2437269.4998000003,11339211.1098,2020,6,2020,7,2020.0,7.0
Po-831213,Sup0006,Kol001,2022-01-21,2022-01-31,2022-01-31,Received,12828918.52,3572462.8986000004,16401381.4186,2022,1,2022,1,2022.0,1.0
Po-242699,Sup0008,Del001,2021-08-29,2021-09-24,2021-09-24,Received,1455632.06,262013.7708,1717645.8308,2021,8,2021,9,2021.0,9.0
Po-390725,Sup0008,Chn001,2021-01-08,2021-02-03,2021-02-03,Received,4509142.870000001,1246154.2846,5755297.154600001,2021,1,2021,2,2021.0,2.0
Po-978867,Sup0003,Ahm001,2020-11-28,2020-12-14,2020-12-14,Received,745257.88,134146.41840000002,879404.2984,2020,11,2020,12,2020.0,12.0
Po-402581,Sup0002,Chn001,2024-07-15,2024-07-25,2024-07-25,Received,2258146.91,626703.2048000001,2884850.1148,2024,7,2024,7,2024.0,7.0
Po-985919,Sup0004,Hyd001,2022-08-22,2022-09-09,2022-09-09,Received,126846.66,22832.3988,149679.0588,2022,8,2022,9,2022.0,9.0
Po-150117,Sup0008,Pun001,2022-10-20,2022-11-15,2022-11-15,Received,12830378.22,3466784.4266000004,16297162.6466,2022,10,2022,11,2022.0,11.0
Po-452675,Sup0002,Del001,2022-12-01,2022-12-11,,Cancelled,32873607.14,9193312.7792,42066919.9192,2022,12,2022,12,,
Po-619430,Sup0008,Kol001,2022-05-08,2022-06-03,2022-06-03,Received,5848468.55,1419030.7060000002,7267499.256000001,2022,5,2022,6,2022.0,6.0
Po-219386,Sup0003,Kol001,2019-01-08,2019-01-24,2019-01-24,Received,4773566.14,1277621.1642,6051187.3042,2019,1,2019,1,2019.0,1.0
Po-770487,Sup0007,Ahm001,2024-09-04,2024-09-16,,Cancelled,18304425.85,4887044.121,23191469.971,2024,9,2024,9,,
Po-502524,Sup0004,Hyd001,2020-03-01,2020-03-19,2020-03-19,Received,2170571.71,598695.0588000001,2769266.7688,2020,3,2020,3,2020.0,3.0
Po-376891,Sup0001,Pun001,2022-09-26,2022-10-15,,Cancelled,8621541.43,2067126.6904,10688668.1204,2022,9,2022,10,,
Po-302753,Sup0007,Pun001,2024-04-30,2024-05-12,2024-05-12,Received,4073091.36,1058555.2458,5131646.6058,2024,4,2024,5,2024.0,5.0
Po-310596,Sup0003,Hyd001,2019-01-19,2019-02-04,,Cancelled,16851691.27,4689856.5256,21541547.7956,2019,1,2019,2,,
Po-504513,Sup0004,Ahm001,2023-09-20,2023-10-08,2023-10-08,Received,26662061.91,7389942.7358,34052004.6458,2023,9,2023,10,2023.0,10.0
Po-379238,Sup0007,Kol001,2023-08-27,2023-09-08,,Cancelled,10366953.89,2866361.6252,13233315.5152,2023,8,2023,9,,
Po-826445,Sup0001,Ahm001,2024-11-08,2024-11-27,2024-11-27,Received,11875886.34,3023803.443200001,14899689.7832,2024,11,2024,11,2024.0,11.0
Po-968495,Sup0003,Hyd001,2024-07-17,2024-08-02,,Cancelled,6265978.600000001,1511873.613,7777852.212999999,2024,7,2024,8,,
Po-804614,Sup0006,Kol001,2019-02-22,2019-03-04,2019-03-04,Received,14920562.980000002,3868112.718400001,18788675.69840001,2019,2,2019,3,2019.0,3.0
Po-171803,Sup0003,Hyd001,2019-06-16,2019-07-02,2019-07-02,Received,5803849.68,1552609.1504,7356458.830399999,2019,6,2019,7,2019.0,7.0
Po-785077,Sup0002,Chn001,2022-04-25,2022-05-05,2022-05-05,Received,17610770.729999997,4918491.650400001,22529262.3804,2022,4,2022,5,2022.0,5.0
Po-328256,Sup0005,Pun001,2020-01-28,2020-02-25,2020-02-25,Received,9753327.390000002,2708965.764200001,12462293.154200004,2020,1,2020,2,2020.0,2.0
Po-401575,Sup0004,Del001,2019-05-10,2019-05-28,2019-05-28,Received,2285215.31,639860.2868000001,2925075.5968000004,2019,5,2019,5,2019.0,5.0
Po-922780,Sup0002,Kol001,2023-02-28,2023-03-10,,Cancelled,18003354.48,4989239.964400001,22992594.4444,2023,2,2023,3,,
Po-943207,Sup0008,Pun001,2021-12-19,2022-01-14,2022-01-14,Received,4829465.03,1283528.5234,6112993.553400001,2021,12,2022,1,2022.0,1.0
Po-371618,Sup0001,Del001,2023-05-18,2023-06-06,2023-06-06,Received,25203524.67,7006000.835600001,32209525.5056,2023,5,2023,6,2023.0,6.0
Po-849630,Sup0004,Del001,2024-12-29,2025-01-16,2025-01-16,Received,22245890.15,6221345.898000002,28467236.048000004,2024,12,2025,1,2025.0,1.0
Po-896708,Sup0001,Del001,2019-05-17,2019-06-05,2019-06-05,Received,12137588.64,3347282.2362,15484870.8762,2019,5,2019,6,2019.0,6.0
Po-797654,Sup0003,Chn001,2022-05-02,2022-05-18,2022-05-18,Received,31158202.28,8668656.762400001,39826859.0424,2022,5,2022,5,2022.0,5.0
Po-403704,Sup0008,Del001,2020-09-14,2020-10-10,2020-10-08,Received,963385.08,173409.31439999997,1136794.3944,2020,9,2020,10,2020.0,10.0
Po-897438,Sup0008,Hyd001,2020-04-04,2020-04-30,,Cancelled,10681476.86,2990813.5208000005,13672290.3808,2020,4,2020,4,,
Po-723083,Sup0006,Pun001,2021-02-02,2021-02-12,2021-02-12,Received,17254839.009999998,4617801.904800001,21872640.9148,2021,2,2021,2,2021.0,2.0
Po-474736,Sup0005,Chn001,2024-07-31,2024-08-28,,Cancelled,754617.18,135831.0924,890448.2723999999,2024,7,2024,8,,
Po-647118,Sup0002,Hyd001,2022-11-29,2022-12-09,2022-12-09,Received,26885034.15,7417222.195000001,34302256.345000006,2022,11,2022,12,2022.0,12.0
