invoice_id,so_id,customer_id,branch_id,invoice_date,due_date,total_order_value,total_gst_amount,grand_total,payment_status,invoice_date_year,invoice_date_month,due_date_year,due_date_month
Inv-620681,So-875606,C0012,Chn001,2021-11-04,2021-12-04,7350,2058.0,9408.0,Paid,2021,11,2021,12
Inv-247904,So-136658,C0291,Hyd001,2022-05-20,2022-06-19,122900,33162.0,156062.0,Partially Paid,2022,5,2022,6
Inv-759813,So-176390,C0375,Pun001,2020-09-06,2020-11-05,459050,128409.0,587459.0,Paid,2020,9,2020,11
Inv-397977,So-209359,C0495,Ahm001,2019-02-06,2019-03-23,154130,40173.4,194303.4,Paid,2019,2,2019,3
Inv-164998,So-495436,C0038,Del001,2019-11-14,2019-11-29,408000,73440.0,481440.0,Paid,2019,11,2019,11
Inv-165894,So-587867,C0365,Kol001,2019-12-02,2020-01-31,642220,176784.6,819004.6,Paid,2019,12,2020,1
Inv-438268,So-392298,C0365,Kol001,2019-03-27,2019-05-26,1260820,352507.60000000003,1613327.6,Paid,2019,3,2019,5
Inv-153034,So-676819,C0191,Kol001,2021-05-17,2021-06-16,1890770,526858.6000000001,2417628.6,Partially Paid,2021,5,2021,6
Inv-327432,So-174126,C0269,Chn001,2021-05-31,2021-06-15,603280,168290.40000000005,771570.3999999999,Paid,2021,5,2021,6
Inv-131738,So-756981,C0053,Del001,2020-05-04,2020-07-03,1894040,530157.2000000001,2424197.2,Paid,2020,5,2020,7
Inv-378290,So-315888,C0349,Ahm001,2020-03-15,2020-04-14,1256630,319048.4,1575678.4,Paid,2020,3,2020,4
Inv-708832,So-151061,C0144,Ahm001,2021-11-24,2022-01-23,533300,148964.0,682264.0,Unpaid,2021,11,2022,1
Inv-853902,So-542377,C0304,Del001,2024-09-20,2024-11-19,2831080,787694.4,3618774.4,Paid,2024,9,2024,11
Inv-814835,So-913956,C0339,Chn001,2022-03-06,2022-04-05,1335960,361327.8000000001,1697287.8,Partially Paid,2022,3,2022,4
Inv-661209,So-903964,C0428,Del001,2024-08-11,2024-10-10,2105740,588453.2000000001,2694193.2,Partially Paid,2024,8,2024,10
Inv-972475,So-453434,C0224,Kol001,2021-10-22,2021-12-21,2387750,658885.0000000001,3046635.0,Paid,2021,10,2021,12
Inv-263467,So-708042,C0386,Del001,2021-04-13,2021-05-13,1903750,526860.0,2430610.0,Paid,2021,4,2021,5
Inv-674427,So-949415,C0017,Chn001,2020-08-26,2020-09-10,559100,139588.00000000003,698688.0,Unpaid,2020,8,2020,9
Inv-572541,So-388923,C0211,Hyd001,2022-08-02,2022-08-17,1089300,286379.00000000006,1375679.0,Paid,2022,8,2022,8
Inv-441708,So-354080,C0461,Del001,2023-10-19,2023-12-03,1317160,347768.8,1664928.8,Paid,2023,10,2023,12
Inv-635373,So-932489,C0139,Ahm001,2019-05-06,2019-05-21,972100,272188.0,1244288.0,Paid,2019,5,2019,5
Inv-324741,So-599074,C0186,Kol001,2021-08-23,2021-09-22,1666150,441187.0,2107337.0,Paid,2021,8,2021,9
Inv-800566,So-890601,C0019,Kol001,2019-05-07,2019-05-22,499630,118833.4,618463.4,Paid,2019,5,2019,5
Inv-854510,So-413914,C0478,Del001,2019-02-15,2019-03-17,1779400,497392.00000000006,2276792.0,Paid,2019,2,2019,3
Inv-959225,So-593211,C0136,Ahm001,2019-07-09,2019-08-08,656760,181736.8,838496.8,Partially Paid,2019,7,2019,8
Inv-562671,So-991527,C0010,Chn001,2022-04-01,2022-05-01,1590750,426555.00000000006,2017305.0,Paid,2022,4,2022,5
Inv-906320,So-301893,C0456,Del001,2022-12-06,2023-01-05,72910,13123.8,86033.8,Unpaid,2022,12,2023,1
Inv-979945,So-883432,C0258,Chn001,2024-09-06,2024-11-05,3757510,1036061.8,4793571.8,Paid,2024,9,2024,11
Inv-183234,So-282095,C0373,Hyd001,2022-09-16,2022-10-01,461550,105429.0,566979.0,Paid,2022,9,2022,10
Inv-696783,So-597054,C0203,Ahm001,2024-10-03,2024-11-02,29800,8344.0,38144.0,Paid,2024,10,2024,11
Inv-774464,So-874829,C0404,Ahm001,2020-03-12,2020-04-11,2132230,592551.4000000001,2724781.4,Paid,2020,3,2020,4
Inv-940141,So-158058,C0087,Hyd001,2019-08-06,2019-10-05,293950,79931.00000000001,373881.0,Paid,2019,8,2019,10
Inv-906426,So-570289,C0286,Chn001,2021-08-19,2021-09-18,2834240,786243.2000000001,3620483.2,Paid,2021,8,2021,9
Inv-155585,So-851010,C0222,Del001,2022-05-02,2022-06-01,1921140,529380.2000000001,2450520.2,Paid,2022,5,2022,6
Inv-436081,So-737202,C0299,Chn001,2019-04-08,2019-05-08,517530,132665.4,650195.4,Paid,2019,4,2019,5
Inv-886834,So-968645,C0010,Chn001,2019-08-16,2019-09-15,320550,88254.00000000001,408804.0,Paid,2019,8,2019,9
Inv-194338,So-184791,C0197,Ahm001,2021-10-29,2021-12-13,1648140,456745.20000000007,2104885.2,Partially Paid,2021,10,2021,12
Inv-895736,So-378647,C0397,Ahm001,2023-07-10,2023-08-09,217420,60225.600000000006,277645.6,Paid,2023,7,2023,8
Inv-932358,So-150938,C0396,Ahm001,2024-11-08,2024-12-23,132230,36621.40000000001,168851.4,Paid,2024,11,2024,12
Inv-469444,So-944599,C0341,Del001,2024-03-06,2024-04-20,2197330,610849.4,2808179.4,Paid,2024,3,2024,4
Inv-964240,So-337483,C0417,Kol001,2022-10-29,2022-11-28,390450,99571.0,490021.0,Paid,2022,10,2022,11
Inv-370392,So-466114,C0353,Del001,2019-07-23,2019-09-21,1316030,358135.4,1674165.4,Partially Paid,2019,7,2019,9
Inv-177268,So-182036,C0393,Kol001,2019-08-01,2019-08-16,1939000,540735.0000000001,2479735.0,Paid,2019,8,2019,8
Inv-954567,So-196893,C0455,Pun001,2022-09-05,2022-10-05,3539210,987197.8000000002,4526407.8,Partially Paid,2022,9,2022,10
Inv-312855,So-483043,C0105,Del001,2023-09-17,2023-11-16,895730,239471.4,1135201.4,Paid,2023,9,2023,11
Inv-949130,So-718024,C0146,Ahm001,2020-10-10,2020-12-09,3892900,1076682.0,4969582.0,Paid,2020,10,2020,12
Inv-802577,So-822214,C0049,Kol001,2022-01-23,2022-02-07,126750,35490.0,162240.0,Partially Paid,2022,1,2022,2
Inv-975372,So-888500,C0389,Ahm001,2019-04-11,2019-05-11,1166230,318666.4,1484896.4,Partially Paid,2019,4,2019,5
Inv-409185,So-910776,C0446,Hyd001,2022-12-05,2023-01-04,56350,10143.0,66493.0,Unpaid,2022,12,2023,1
Inv-700800,So-882277,C0026,Hyd001,2020-05-25,2020-07-24,95600,26478.000000000004,122078.0,Partially Paid,2020,5,2020,7
Inv-940006,So-628561,C0239,Chn001,2020-10-21,2020-12-20,741590,205126.20000000004,946716.2,Paid,2020,10,2020,12
Inv-295210,So-968887,C0326,Kol001,2021-08-17,2021-09-16,726520,191883.60000000003,918403.6,Paid,2021,8,2021,9
Inv-147057,So-524580,C0152,Chn001,2021-12-05,2021-12-20,917650,255037.00000000003,1172687.0,Paid,2021,12,2021,12
Inv-334538,So-376514,C0153,Pun001,2023-07-09,2023-08-08,809490,199963.2,1009453.2,Partially Paid,2023,7,2023,8
Inv-961603,So-765039,C0430,Kol001,2022-08-06,2022-08-21,3116700,858546.0000000001,3975246.0,Paid,2022,8,2022,8
Inv-253296,So-251167,C0058,Pun001,2024-10-28,2024-11-12,491580,120134.4,611714.4,Paid,2024,10,2024,11
Inv-585792,So-633824,C0184,Chn001,2022-05-10,2022-05-25,523580,124714.4,648294.4,Paid,2022,5,2022,5
Inv-688427,So-894042,C0482,Kol001,2020-08-09,2020-10-08,2792220,781389.6000000001,3573609.6,Unpaid,2020,8,2020,10
Inv-426299,So-970632,C0168,Pun001,2022-08-29,2022-10-28,2549750,699195.0000000001,3248945.0,Paid,2022,8,2022,10
Inv-693572,So-708213,C0066,Hyd001,2023-06-06,2023-08-05,4320,777.6,5097.6,Partially Paid,2023,6,2023,8
Inv-914904,So-723200,C0376,Del001,2024-11-29,2024-12-29,553220,154089.60000000003,707309.6,Paid,2024,11,2024,12
Inv-411347,So-791354,C0427,Hyd001,2019-06-25,2019-08-24,183140,50415.2,233555.2,Partially Paid,2019,6,2019,8
Inv-698098,So-604184,C0133,Ahm001,2023-06-09,2023-06-24,2595610,723344.8,3318954.8,Paid,2023,6,2023,6
Inv-734161,So-297416,C0233,Kol001,2021-04-08,2021-05-23,2518040,690567.2000000001,3208607.2,Paid,2021,4,2021,5
Inv-964300,So-157081,C0304,Del001,2021-03-11,2021-05-10,1999600,529358.0000000001,2528958.0,Paid,2021,3,2021,5
Inv-102776,So-222518,C0240,Hyd001,2021-02-13,2021-03-15,2871950,801526.0000000001,3673476.0,Paid,2021,2,2021,3
Inv-127918,So-378574,C0494,Chn001,2020-07-01,2020-08-15,1596430,437592.4,2034022.4,Partially Paid,2020,7,2020,8
Inv-577818,So-121403,C0300,Del001,2024-11-28,2024-12-13,84990,15298.2,100288.2,Paid,2024,11,2024,12
Inv-184254,So-789374,C0356,Del001,2022-12-13,2023-01-27,146470,26364.6,172834.6,Partially Paid,2022,12,2023,1
Inv-929162,So-668225,C0029,Kol001,2024-01-10,2024-02-24,1551150,421157.00000000006,1972307.0,Unpaid,2024,1,2024,2
Inv-586934,So-756461,C0107,Del001,2021-09-03,2021-10-03,1030700,280726.0,1311426.0,Paid,2021,9,2021,10
Inv-616169,So-407922,C0326,Kol001,2019-12-10,2020-01-09,163900,45892.00000000001,209792.0,Paid,2019,12,2020,1
Inv-627222,So-792764,C0495,Ahm001,2020-05-27,2020-07-11,2619560,732540.8000000002,3352100.8,Paid,2020,5,2020,7
Inv-726985,So-644397,C0432,Hyd001,2022-03-07,2022-04-06,2175440,600939.2,2776379.2,Unpaid,2022,3,2022,4
Inv-350134,So-995721,C0315,Ahm001,2022-09-17,2022-11-01,23910,5433.8,29343.8,Unpaid,2022,9,2022,11
Inv-677165,So-133793,C0221,Del001,2023-04-17,2023-06-01,626800,162164.00000000003,788964.0,Paid,2023,4,2023,6
Inv-619125,So-513785,C0270,Del001,2024-10-28,2024-11-27,786380,189598.4,975978.4,Paid,2024,10,2024,11
Inv-953376,So-887716,C0455,Pun001,2024-07-27,2024-08-26,4346550,1215009.0,5561559.0,Paid,2024,7,2024,8
Inv-260722,So-332156,C0033,Chn001,2020-03-23,2020-05-22,545550,145959.0,691509.0,Paid,2020,3,2020,5
Inv-787139,So-531777,C0078,Hyd001,2022-09-03,2022-10-03,2750110,763424.8,3513534.8,Partially Paid,2022,9,2022,10
Inv-898377,So-437871,C0091,Pun001,2022-07-19,2022-09-02,1316390,367965.20000000007,1684355.2,Paid,2022,7,2022,9
Inv-752600,So-736045,C0139,Ahm001,2020-08-17,2020-09-01,2572060,716765.8,3288825.8,Paid,2020,8,2020,9
Inv-437984,So-442942,C0297,Chn001,2019-11-12,2019-11-27,2618440,728634.2000000002,3347074.2,Partially Paid,2019,11,2019,11
Inv-411163,So-126876,C0022,Chn001,2019-05-14,2019-07-13,303010,77871.80000000002,380881.8000000001,Paid,2019,5,2019,7
Inv-443757,So-652697,C0485,Pun001,2019-03-07,2019-05-06,1644550,454944.00000000006,2099494.0,Paid,2019,3,2019,5
Inv-586996,So-192052,C0342,Del001,2021-03-24,2021-05-08,28000,5040.0,33040.0,Partially Paid,2021,3,2021,5
Inv-957703,So-916406,C0226,Ahm001,2024-07-11,2024-08-10,198960,54892.8,253852.8,Paid,2024,7,2024,8
Inv-326761,So-526833,C0359,Hyd001,2022-04-18,2022-06-02,4167110,1162959.8000000005,5330069.8,Partially Paid,2022,4,2022,6
Inv-120199,So-994387,C0360,Ahm001,2020-06-06,2020-07-21,3107300,870044.0000000001,3977344.0,Paid,2020,6,2020,7
Inv-455926,So-966787,C0409,Pun001,2022-10-04,2022-11-18,107380,28088.400000000005,135468.4,Partially Paid,2022,10,2022,11
Inv-778889,So-339874,C0103,Kol001,2023-07-13,2023-08-27,964790,256312.20000000004,1221102.2,Paid,2023,7,2023,8
Inv-786715,So-575988,C0121,Pun001,2020-08-11,2020-09-10,2742440,767759.2000000001,3510199.2,Paid,2020,8,2020,9
Inv-693655,So-819437,C0244,Kol001,2019-06-16,2019-08-15,1807760,494856.8000000001,2302616.8,Partially Paid,2019,6,2019,8
Inv-717505,So-425052,C0246,Del001,2020-10-14,2020-11-13,1148200,321206.00000000006,1469406.0,Partially Paid,2020,10,2020,11
Inv-489559,So-347333,C0483,Del001,2020-07-04,2020-08-03,3075590,854916.2000000001,3930506.2,Unpaid,2020,7,2020,8
Inv-721046,So-550189,C0107,Del001,2019-01-28,2019-02-27,1631180,455362.4000000001,2086542.4,Paid,2019,1,2019,2
Inv-350383,So-467883,C0224,Kol001,2021-05-12,2021-07-11,1924670,538535.6000000001,2463205.6,Partially Paid,2021,5,2021,7
Inv-172295,So-777242,C0363,Ahm001,2023-01-04,2023-02-03,2070260,572256.8,2642516.8,Unpaid,2023,1,2023,2
Inv-650874,So-444216,C0201,Chn001,2020-08-20,2020-09-04,359700,100716.0,460416.0,Paid,2020,8,2020,9
Inv-949587,So-894246,C0060,Hyd001,2024-10-11,2024-12-10,318450,88541.0,406991.0,Partially Paid,2024,10,2024,12
Inv-991036,So-758861,C0323,Ahm001,2021-11-20,2021-12-20,667440,185659.2,853099.2,Paid,2021,11,2021,12
Inv-401121,So-635831,C0437,Hyd001,2022-12-07,2023-01-06,7250,1305.0,8555.0,Paid,2022,12,2023,1
Inv-163013,So-872605,C0492,Hyd001,2024-11-07,2025-01-06,1375750,375265.00000000006,1751015.0,Paid,2024,11,2025,1
Inv-163583,So-362034,C0354,Hyd001,2019-03-23,2019-04-22,467560,121955.80000000002,589515.8,Unpaid,2019,3,2019,4
Inv-772342,So-585430,C0397,Ahm001,2019-02-24,2019-03-26,162630,33253.4,195883.4,Partially Paid,2019,2,2019,3
Inv-527381,So-744439,C0004,Chn001,2022-07-03,2022-08-02,1190300,331534.0,1521834.0,Unpaid,2022,7,2022,8
Inv-276594,So-347118,C0245,Chn001,2024-09-28,2024-10-28,1003740,276588.2,1280328.2,Partially Paid,2024,9,2024,10
Inv-664392,So-682670,C0377,Chn001,2024-12-19,2025-02-02,1642860,447889.8000000001,2090749.8,Unpaid,2024,12,2025,2
Inv-442508,So-147697,C0127,Kol001,2021-08-29,2021-10-13,477200,133616.00000000003,610816.0,Paid,2021,8,2021,10
Inv-261967,So-208829,C0064,Kol001,2024-10-27,2024-12-11,862820,239867.60000000003,1102687.6,Partially Paid,2024,10,2024,12
Inv-708803,So-847245,C0336,Kol001,2024-05-17,2024-06-01,1857220,508029.6,2365249.6,Paid,2024,5,2024,6
Inv-232983,So-909198,C0259,Chn001,2023-03-02,2023-03-17,1482520,411543.6,1894063.6,Unpaid,2023,3,2023,3
Inv-357271,So-662353,C0440,Hyd001,2024-04-16,2024-05-16,277770,77703.6,355473.6,Paid,2024,4,2024,5
Inv-973318,So-190942,C0460,Del001,2023-03-14,2023-05-13,2250900,630252.0,2881152.0,Partially Paid,2023,3,2023,5
Inv-284451,So-640770,C0445,Kol001,2023-08-22,2023-10-21,1181100,330708.00000000006,1511808.0,Paid,2023,8,2023,10
Inv-606345,So-464850,C0415,Pun001,2020-07-02,2020-08-01,2024160,566088.8000000002,2590248.8,Partially Paid,2020,7,2020,8
Inv-419723,So-658992,C0475,Kol001,2022-09-06,2022-10-21,3249700,906201.0,4155901.0,Partially Paid,2022,9,2022,10
Inv-367357,So-390263,C0046,Ahm001,2022-02-15,2022-04-01,16100,2898.0,18998.0,Partially Paid,2022,2,2022,4
Inv-389681,So-102070,C0096,Chn001,2019-01-20,2019-02-04,409550,112949.0,522499.0,Paid,2019,1,2019,2
Inv-616489,So-435701,C0236,Kol001,2022-12-08,2022-12-23,700600,196168.00000000003,896768.0,Paid,2022,12,2022,12
Inv-630691,So-365432,C0403,Kol001,2021-04-26,2021-05-26,915080,235539.4,1150619.4,Partially Paid,2021,4,2021,5
Inv-716228,So-837858,C0500,Kol001,2024-05-04,2024-06-03,123540,34157.2,157697.2,Paid,2024,5,2024,6
Inv-878499,So-366079,C0367,Chn001,2020-01-14,2020-03-14,868550,231959.00000000003,1100509.0,Unpaid,2020,1,2020,3
Inv-899491,So-308599,C0088,Pun001,2022-09-21,2022-11-05,1790100,495358.00000000006,2285458.0,Paid,2022,9,2022,11
Inv-327740,So-230529,C0225,Del001,2024-02-15,2024-03-16,2080810,577070.8,2657880.8,Partially Paid,2024,2,2024,3
Inv-867649,So-402648,C0037,Pun001,2024-07-04,2024-08-03,152100,42588.00000000001,194688.0,Paid,2024,7,2024,8
Inv-612919,So-918473,C0197,Ahm001,2022-01-28,2022-03-14,620760,167576.80000000002,788336.8,Unpaid,2022,1,2022,3
Inv-412834,So-397073,C0348,Del001,2019-09-01,2019-10-31,460810,126725.80000000002,587535.8,Paid,2019,9,2019,10
Inv-346851,So-171359,C0233,Kol001,2020-06-04,2020-07-19,837360,225149.8,1062509.8,Paid,2020,6,2020,7
Inv-727878,So-854086,C0003,Del001,2020-11-22,2020-12-22,2162970,603514.6000000001,2766484.6,Paid,2020,11,2020,12
Inv-889049,So-829167,C0193,Chn001,2024-02-20,2024-03-21,742160,207618.8,949778.8,Partially Paid,2024,2,2024,3
Inv-522975,So-440914,C0430,Kol001,2024-04-26,2024-05-11,1099250,302135.00000000006,1401385.0,Paid,2024,4,2024,5
Inv-123985,So-462946,C0159,Chn001,2023-05-10,2023-06-24,1061370,275561.6,1336931.6,Paid,2023,5,2023,6
Inv-377481,So-401583,C0398,Hyd001,2024-09-10,2024-10-10,158900,28602.0,187502.0,Paid,2024,9,2024,10
Inv-517150,So-808201,C0175,Kol001,2019-09-24,2019-10-24,80550,22554.0,103104.0,Unpaid,2019,9,2019,10
Inv-197644,So-602597,C0285,Pun001,2021-04-29,2021-05-14,1214450,331681.0,1546131.0,Paid,2021,4,2021,5
Inv-761932,So-758058,C0012,Chn001,2020-08-17,2020-09-16,122350,22023.0,144373.0,Paid,2020,8,2020,9
Inv-334241,So-171543,C0062,Hyd001,2019-11-21,2020-01-20,604700,161066.00000000003,765766.0,Paid,2019,11,2020,1
Inv-524826,So-917897,C0375,Pun001,2022-07-13,2022-09-11,367270,94008.6,461278.6,Partially Paid,2022,7,2022,9
Inv-123850,So-590650,C0379,Chn001,2022-07-03,2022-08-02,1728640,473505.20000000007,2202145.2,Partially Paid,2022,7,2022,8
Inv-221398,So-533108,C0005,Ahm001,2019-03-26,2019-04-25,1481610,406344.8000000001,1887954.8,Paid,2019,3,2019,4
Inv-895599,So-640431,C0365,Kol001,2023-03-15,2023-05-14,2314000,644060.0000000001,2958060.0,Partially Paid,2023,3,2023,5
Inv-985430,So-645967,C0065,Ahm001,2024-03-04,2024-03-19,1450640,405135.20000000007,1855775.2,Paid,2024,3,2024,3
Inv-261578,So-184070,C0311,Del001,2019-07-18,2019-09-01,3463260,968756.8000000002,4432016.8,Partially Paid,2019,7,2019,9
Inv-486262,So-850760,C0499,Pun001,2024-03-31,2024-04-30,999910,265373.80000000005,1265283.8,Partially Paid,2024,3,2024,4
Inv-339583,So-741015,C0028,Pun001,2020-08-25,2020-10-09,711940,197854.2,909794.2,Paid,2020,8,2020,10
Inv-134878,So-382072,C0089,Ahm001,2021-12-28,2022-01-27,92500,25610.000000000004,118110.0,Partially Paid,2021,12,2022,1
Inv-807898,So-843183,C0472,Chn001,2020-03-18,2020-05-02,1513210,420667.8000000001,1933877.8,Unpaid,2020,3,2020,5
Inv-153975,So-775978,C0382,Hyd001,2023-04-17,2023-05-17,13680,2462.4,16142.4,Paid,2023,4,2023,5
Inv-671462,So-398968,C0215,Chn001,2024-12-27,2025-01-11,1273370,342616.60000000003,1615986.6,Paid,2024,12,2025,1
Inv-806455,So-130373,C0401,Del001,2023-02-14,2023-04-15,1943060,517610.8000000001,2460670.8,Paid,2023,2,2023,4
Inv-906166,So-602996,C0393,Kol001,2021-04-29,2021-05-14,703400,196952.00000000003,900352.0,Paid,2021,4,2021,5
Inv-986320,So-714774,C0248,Pun001,2022-10-23,2022-11-22,1781770,485368.6000000001,2267138.6,Paid,2022,10,2022,11
Inv-231120,So-945501,C0390,Del001,2021-07-01,2021-07-31,2135310,593030.8,2728340.8,Paid,2021,7,2021,7
Inv-483476,So-543216,C0402,Hyd001,2020-11-24,2020-12-09,1979880,534753.4,2514633.4,Paid,2020,11,2020,12
Inv-624348,So-125836,C0221,Del001,2021-07-04,2021-08-18,1613880,435418.4,2049298.4,Unpaid,2021,7,2021,8
Inv-902673,So-203868,C0049,Kol001,2021-08-16,2021-08-31,2938120,817346.6000000001,3755466.6,Paid,2021,8,2021,8
Inv-392349,So-608240,C0120,Hyd001,2021-04-14,2021-05-14,1361100,379858.00000000006,1740958.0,Partially Paid,2021,4,2021,5
Inv-187188,So-513611,C0305,Del001,2020-04-24,2020-05-09,61200,11016.0,72216.0,Unpaid,2020,4,2020,5
Inv-178352,So-828282,C0061,Hyd001,2020-11-22,2021-01-06,559110,151304.80000000002,710414.8,Paid,2020,11,2021,1
Inv-820114,So-113739,C0435,Chn001,2024-05-20,2024-07-04,2097740,586143.2000000001,2683883.2,Paid,2024,5,2024,7
Inv-230503,So-323966,C0439,Chn001,2020-07-09,2020-08-08,1659880,456028.4,2115908.4,Paid,2020,7,2020,8
Inv-931890,So-592649,C0101,Chn001,2020-02-21,2020-04-21,431290,118347.2,549637.2,Partially Paid,2020,2,2020,4
Inv-714237,So-226326,C0163,Ahm001,2024-07-06,2024-08-20,219880,56278.4,276158.4,Partially Paid,2024,7,2024,8
Inv-263204,So-335406,C0246,Del001,2020-07-14,2020-08-13,3638050,1000939.0,4638989.0,Paid,2020,7,2020,8
Inv-188578,So-472661,C0450,Kol001,2022-10-17,2022-11-16,3967160,1087558.8,5054718.8,Partially Paid,2022,10,2022,11
Inv-100160,So-390855,C0221,Del001,2022-07-30,2022-09-13,1250580,348589.4,1599169.4,Paid,2022,7,2022,9
Inv-651562,So-165767,C0341,Del001,2021-11-10,2021-12-25,1535780,429090.4,1964870.4,Partially Paid,2021,11,2021,12
Inv-626646,So-393912,C0134,Ahm001,2021-02-21,2021-04-22,1402450,388371.00000000006,1790821.0,Partially Paid,2021,2,2021,4
Inv-610685,So-582887,C0470,Chn001,2022-06-12,2022-07-27,1544300,427409.00000000006,1971709.0,Paid,2022,6,2022,7
Inv-783790,So-423263,C0021,Hyd001,2019-06-18,2019-07-03,809480,208166.4,1017646.4,Paid,2019,6,2019,7
Inv-969422,So-507341,C0201,Chn001,2019-12-12,2019-12-27,14500,2610.0,17110.0,Paid,2019,12,2019,12
Inv-924690,So-836113,C0151,Kol001,2019-03-07,2019-04-21,164570,37532.600000000006,202102.6,Partially Paid,2019,3,2019,4
Inv-252644,So-131528,C0309,Ahm001,2022-07-05,2022-08-19,731900,204932.0,936832.0,Paid,2022,7,2022,8
Inv-629674,So-123304,C0218,Pun001,2023-01-29,2023-02-28,3564700,997176.0,4561876.0,Partially Paid,2023,1,2023,2
Inv-540122,So-914003,C0250,Pun001,2022-01-18,2022-02-17,391330,107449.40000000002,498779.4,Paid,2022,1,2022,2
Inv-211913,So-645602,C0148,Ahm001,2022-12-05,2022-12-20,2182140,602665.2000000001,2784805.2,Paid,2022,12,2022,12
Inv-575200,So-886732,C0242,Chn001,2024-01-10,2024-02-09,2424070,674977.6000000001,3099047.6,Unpaid,2024,1,2024,2
Inv-459565,So-289341,C0161,Ahm001,2024-11-28,2025-01-12,1474840,384701.20000000007,1859541.2,Paid,2024,11,2025,1
Inv-294135,So-938790,C0075,Hyd001,2019-09-29,2019-11-13,692110,183319.8,875429.8,Partially Paid,2019,9,2019,11
Inv-172542,So-606281,C0477,Ahm001,2024-06-14,2024-06-29,931830,244769.4,1176599.4,Paid,2024,6,2024,6
Inv-943372,So-508013,C0351,Chn001,2020-05-23,2020-06-22,680460,187492.8,867952.8,Paid,2020,5,2020,6
Inv-305012,So-440369,C0267,Hyd001,2019-10-10,2019-12-09,870460,230332.8,1100792.8,Paid,2019,10,2019,12
Inv-224042,So-737186,C0495,Ahm001,2022-03-17,2022-05-01,684850,191758.00000000003,876608.0,Partially Paid,2022,3,2022,5
Inv-335767,So-985806,C0299,Chn001,2021-06-07,2021-07-07,656030,170115.40000000002,826145.4,Paid,2021,6,2021,7
Inv-574854,So-447301,C0392,Kol001,2021-08-13,2021-10-12,994140,267345.2,1261485.2,Paid,2021,8,2021,10
Inv-453163,So-922481,C0442,Kol001,2023-07-31,2023-08-15,2501600,690898.0000000001,3192498.0,Paid,2023,7,2023,8
Inv-163610,So-558310,C0149,Ahm001,2024-05-27,2024-06-26,3017360,826824.8,3844184.8,Paid,2024,5,2024,6
